id;calories;proteins;fat;carbohydrate;name;image
751;359;17,2;68,2;332;Kerupuk Udang berpati;https://img.my-best.id/content_section/choice_component/sub_contents/e0b644d7e1f923673ed9a295a0ad422f.jpg?ixlib=rails-4.3.1&q=70&lossless=0&w=690&fit=max&s=685a7bbc6d1dd6e991aa9c8ec4d49919
711;657;15;66;13;Kenari;https://cdn.antaranews.com/cache/800x533/2021/09/03/Screenshot_2021-09-03-09-41-57-05_copy_1055x704.jpg
416;652;40,4;54,3;0;Ikan Asin pepetek goreng;https://img-global.cpcdn.com/recipes/63c1692184e591d6/1200x630cq70/photo.jpg
143;629;21,5;56,6;19,8;Biji Jambu Mete goreng;https://jovee.id/wp-content/uploads/2020/09/KACANGMEDE.jpg
710;636;19;63;8;Kemiri;https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2021/10/11044054/Mengenal-Manfaat-Kemiri-untuk-Kesehatan-Tubuh.jpg
634;629;20,4;56,3;19,8;Kacang mete/biji jambu monyet goreng;https://img-global.cpcdn.com/recipes/4f25cc206ec3ac25/680x482cq70/kacang-metemede-goreng-dengan-tips-foto-resep-utama.jpg
699;623;2;52,1;36,5;Kelapa hutan kering;https://cf.shopee.co.id/file/b744bbf5c824fbcba58e1aeff62b2e8f
635;616;16,3;48,4;28,7;Kacang mete/biji jambu monyet segar;https://sambikelen.lombokutarakab.go.id/assets/files/artikel/sedang_14889020189829709594_313eba7317.jpg
321;598;74,3;26,9;9,2;Dendeng mujahir goreng;https://img-global.cpcdn.com/recipes/c49ebd05c391ae54/680x482cq70/dendeng-mujair-foto-resep-utama.jpg
477;598;74,3;26,9;9,2;Ikan Mujair dendeng goreng;https://img-global.cpcdn.com/recipes/c49ebd05c391ae54/680x482cq70/dendeng-mujair-foto-resep-utama.jpg
839;630;9,1;65;1,1;Lemak Babi (Bacon);https://nilaigizi.com/assets/images/produk/produk_1535869956.jpg
478;582;68,3;15,2;37,2;Ikan Mujair dendeng mentah;https://images.tokopedia.net/img/cache/700/VqbcmM/2021/5/21/38d1433b-a298-46d1-8f07-797840199762.jpg.webp
712;616;13,9;56,2;13,7;Kenari banda kering;13_20211016_144252_0012.jpg (1024×576) (wp.com)
932;600;14;41,7;42;Noga Kacang Tanah ;https://t-2.tstatic.net/priangan/foto/bank/images/Noga-Suuk.jpg
728;598;8,3;43,8;42,6;Keripik oncom;https://images.tokopedia.net/img/cache/700/product-1/2020/8/16/58377017/58377017_c917b0cd-8da8-412b-834f-792308dd5144_538_538
698;590;27;49;20,9;Keju Kacang Tanah;https://img.freepik.com/free-photo/cheddar-cheese-dark-wooden-surface_1150-41937.jpg?w=1060&t=st=1684238932~exp=1684239532~hmac=578424a4cc6bde6d195628ec281e5daa943e767e0e6d813354904914dc34af51
798;591;5,6;42,1;47,5;Kue kelapa;https://assets.suaramerdeka.com/crop/0x0:0x0/750x500/webp/photo/2023/01/03/3184254010.png
753;588;53,7;40,9;1,2;Kerupuk urat;https://images.tokopedia.net/img/cache/700/VqbcmM/2021/6/3/15bac8fd-dff8-49eb-9561-81a087a02638.jpg
724;586;4,9;40,6;50,2;Keripik bayam;https://asset.kompas.com/crops/jYESdylVwVMIxcGzRhIFfZhPjnI=/0x28:1000x694/750x500/data/photo/2021/06/12/60c3ff4b72ad0.jpeg
731;581;12,1;40,6;41,7;Keripik tempe;https://assets.pikiran-rakyat.com/crop/0x0:0x0/750x500/photo/2022/07/19/1076813219.png
341;590;18,5;57;0;Empal Goreng;https://ikafood.com/wp-content/uploads/2020/09/Empal-Gepuk.jpg
651;569;28,8;48,4;15,8;Kacang Tanah sangan berselaput;https://myxo.com.my/wp-content/uploads/2016/01/Bold-Grade-Kernels-700x700.jpg
645;564;25,5;44,4;25,5;Kacang tanah goreng;https://cdn.rasa.my/2018/10/Untitled-design33.png
348;565;18,2;38,4;36,8;Enting-enting wijen;https://img-global.cpcdn.com/recipes/fb33825abf7ebb72/680x482cq70/enting-enting-kacang-wijen-foto-resep-utama.jpg
1338;568;19,3;51,1;18,1;Wijen;https://res.cloudinary.com/dk0z4ums3/image/upload/v1631251653/attached_image/mengulik-manfaat-biji-wijen-untuk-kesehatan.jpg
142;562;21,2;49,6;23,6;Biji Jambu Mete;https://static.republika.co.id/uploads/images/inpicture_slide/biji-jambu-mete-seorang-warga-menunjukkan-biji-jambu-mete-_121124152601-814.jpg
646;561;25,5;43,8;26;Kacang Tanah kacang sari;https://mmc.tirto.id/image/otf/1024x535/2017/07/12/susu-kacang-tanah--ISTOCK.jpg
653;561;25,5;43,8;26;Kacang tanah sari;https://halalstore.jp/wp-content/uploads/2019/07/k-367-kacang-tanah-sariraya-500g-480yen.jpg
652;559;26,9;44,2;23,6;Kacang tanah sangan tanpa selaput;https://t-2.tstatic.net/palembang/foto/bank/images/kacang-tanah1-kacang-tanah-tanpa-kulit.jpg
732;542;40,3;42,4;11,6;Keripik tempe abadi murni;8597be9ee32588c99d9ad731093cd18a (640×640) (shopee.co.id)
788;542;40,3;42,4;11,5;Kripik Tempe Goreng ;https://asset.kompas.com/crops/NvawKpjCGV6FrehArD0C-OBjYSI=/3x0:700x465/750x500/data/photo/2020/12/01/5fc629934653a.jpg
346;538;13,6;30,3;52,6;Enting-enting gepuk hello kity;https://lzd-img-global.slatic.net/g/p/46ae93d66169830341e0450a39d663b5.jpg_720x720q80.jpg_.webp
1016;625;1;0;8,1;Pisang Siam goreng;https://asset-a.grid.id/crop/0x0:0x0/700x465/photo/2022/12/05/pisang-gorengjpg-20221205080417.jpg
644;535;27,8;38,1;28,8;Kacang Tanah atom;https://assets.ayobandung.com/crop/0x0:0x0/750x500/webp/photo/2022/11/21/4260757127.jpg
589;533;27,8;38,1;28,8;Kacang atom;https://img-global.cpcdn.com/recipes/74c03b7bf26daaf4/680x482cq70/sukro-kacang-atom-foto-resep-utama.jpg
58;529;3,2;29,1;63,6;Bagea kenari asin;https://images.tokopedia.net/img/cache/700/hDjmkQ/2021/10/4/73219f10-0149-4af7-b1ca-c51d90ca767b.jpg
810;512;26;26;60,4;Kue Tambang ;https://asset.kompas.com/crops/x2yGurVUxpP-COxvvOjVx2P7lL0=/100x67:900x600/750x500/data/photo/2022/04/14/62578f6fbc8b8.jpg
734;529;20,8;31,7;40,2;Keripik tempe abadi telur;https://s2.bukalapak.com/img/7559256151/large/kripik_tempe_abadi.jpg
59;523;3,2;28,2;64,2;Bagea kenari manis;https://indonesiakaya.com/wp-content/uploads/2020/10/1__IMG_0796_CROP_Renyah_gurih_dan_manis_begitulah_kira-kira_gambaran_saat_mencicipi_kue_bagea_khas_Sulawesi_Utara.jpg
347;524;13,3;29,2;52;Enting-enting gepuk kacang tanah;https://eventkampus.com/data/artikel/2/enting-enting-khas-salatiga-asal-usul-dan-kandungan-nutrisi-dalam-enting-enting.jpeg
495;534;40,2;39,3;4,9;Ikan Sale segar;https://www.bengkulutoday.com/sites/default/files/article/2021-04/salai.jpg
1055;536;40,5;41,5;0;Rusa daging dendeng mentah;https://images.tokopedia.net/img/cache/250-square/VqbcmM/2022/5/21/4b8937f9-6431-46ec-9d95-d633aa52371f.jpg
617;521;32,2;37,7;22,9;Kacang kedelai goreng;https://img-global.cpcdn.com/recipes/e4e2747431572f24/680x482cq70/kacang-kedelai-goreng-foto-resep-utama.jpg
647;525;27,9;42,7;17,4;Kacang tanah kering;https://imgx.parapuan.co/crop/0x0:0x0/x/photo/2022/03/02/khasiat-kacang-tanah-sebagai-oba-20220302010109.jpg
650;513;17,5;32,5;44,3;Kacang Tanah rempeyek;https://img.okezone.com/content/2020/06/15/298/2230610/resep-peyek-kacang-tanah-dan-udang-rebon-renyah-bikin-terus-ngunyah-3j0ZqjZUGs.jpg
602;516;14,7;31,1;44,4;Kacang goyang;https://cdn2.tstatic.net/tribunnewswiki/foto/bank/images/Ilustrasi-kacang-goyang-khas-Sulawesi2.jpg
1171;513;24,6;30;36,2;Susu bubuk;https://asset.kompas.com/crops/JH48SvD1Mh2-p1G2lmViLdqVQ3c=/0x0:997x665/750x500/data/photo/2022/07/13/62ce704885550.jpg
733;510;12,3;27,9;52,4;Keripik tempe abadi sedang;kripik_tempe_abadi.jpg (600×450) (bukalapak.com)
816;515;30,6;42,1;13,8;Kwaci;https://lzd-img-global.slatic.net/g/p/38df63d32f7205e9f443bd8cac8ef122.jpg_720x720q80.jpg_.webp
1267;509;24,6;30;36,2;Tepung Susu;https://sc04.alicdn.com/kf/HTB15ytoKXXXXXawXXXXq6xXFXXXq.jpg
643;488;25,6;25,6;59,6;Kacang Sukro Putih ;https://cdn1.productnation.co/stg/sites/5/5cbfb08983c9b.jpeg
2;513;23,7;37;21,3;Abon haruwan;https://img-global.cpcdn.com/recipes/cbf330fbd1ba6316/1200x630cq70/photo.jpg
741;504;5,6;28,1;57,1;Kerupuk kemplang goreng;https://asset.kompas.com/crops/Qu-uGRiw6A4NINs_6VhIZBrvp1I=/0x386:667x831/750x500/data/photo/2021/05/12/609b4a1d9af08.jpg
570;500;1,2;25,1;67,3;Japilus;https://id-test-11.slatic.net/p/d809d741c919c2e26bf7e8d56c038b2a.jpg
1044;497;17;27,6;50,8;Rempeyek kacang uci;https://img-global.cpcdn.com/recipes/a6f9e4ebc75b128d/680x482cq70/rempeyek-kacang-tanah-foto-resep-utama.jpg
214;504;5,5;52,9;29,2;Coklat Pahit batang;https://nilaigizi.com/assets/images/produk/produk_1535873875.jpg
1293;516;17,7;49,5;0;Tinoransak masakan;https://img-global.cpcdn.com/recipes/fe8971ba42b8aded/1200x630cq70/photo.jpg
747;485;11,5;24,5;59,1;Kerupuk Melinjo tipis goreng;https://assets.indozone.id/content/2021/10/31/qEsgvo3/gampang-ini-cara-membuat-emping-melinjo-yang-gurih-dan-renyah30_700.jpg
727;485;1,7;22,2;69,7;Keripik lampung;https://img-global.cpcdn.com/recipes/42103518f5a03444/680x482cq70/keripik-pisang-coklat-khas-lampung-foto-resep-utama.jpg
527;496;30,3;33,5;18,4;Itik alabio daging dendeng mentah;https://2.bp.blogspot.com/-SbmA8hgkc0o/WJCLWXFxWdI/AAAAAAAAAew/-RmRX3YjJ3EtldaLu6fvsQoQvowStN2OwCLcB/s1600/287162783_4_644x461_dendeng-itik-rina-asli-amuntai-rumah-tangga.jpg
956;494;7,5;36,4;40,1;Pala biji;https://res.cloudinary.com/dk0z4ums3/image/upload/v1670897868/attached_image/biji-pala-ketahui-kandungan-nutrisi-dan-manfaatnya-bagi-kesehatan.jpg
735;486;0,2;23,9;67,6;Keripik ubi;https://kurio-img.kurioapps.com/21/09/02/38b4842e-bbd0-4c81-9ac4-2f41364dfbfc.jpe
642;484;8,8;26,1;57,7;Kacang sukro;https://icalan.id/userfile/filemanager/834//lz-olshop_1630921772-uTyPi.jpeg
730;481;2,2;19,7;73,6;Keripik singkong berbumbu;https://www.primarasa.co.id/images/images/Keripik%20Singkong%20Balado%20-%20resep.jpg
636;480;18,4;19,1;58,5;Kacang negara;https://cdns.klimg.com/merdeka.com/i/w/news/2020/04/30/1172565/content_images/670x335/20200430152447-1-ilustrasi-kacang-tunggak-001-rizqi-adnamazida.jpg
595;479;12,7;23,2;58,9;Kacang Bogor goreng;https://img-global.cpcdn.com/recipes/375c798c374e2ef5/680x482cq70/kacang-bogor-goreng-foto-resep-utama.jpg
729;478;0,9;20,7;72;Keripik singkong;https://www.astronauts.id/blog/wp-content/uploads/2022/09/Olahan-Keripik-Khas-Indonesia-yang-Bikin-Kamu-Ketagihan-1024x683.jpg
1133;478;2,5;21,2;69,2;Serimping talas kebumen;https://cf.shopee.co.id/file/1a5298e33a33b350a144b846d16c2be3
752;477;4,7;20,5;68,5;Kerupuk udang goreng;https://asset.kompas.com/crops/Vol7WU4iu3WSWKNB3nhw8RFCJdE=/0x9:1000x675/750x500/data/photo/2021/07/27/60ff6fb81ffaf.jpg
748;476;0,1;21,1;71,3;Kerupuk mie kuning goreng;https://id-test-11.slatic.net/p/b79efc608cc0f1f4b19fe026565838ae.jpg
213;472;2;29,8;62,7;Coklat Manis batang;https://www.mampu.or.id/wp-content/uploads/2022/10/6007a9065cace.jpeg
722;475;1,6;25,5;64,4;Keremes;https://1.bp.blogspot.com/-7vUY82UReBs/WTbWbqEd68I/AAAAAAAAG4k/isry-Tn67FQgLbx5nqz5ZVhpQeAMHkaSACLcB/s1600/23-04-12-2863049_540b3cf5-8735-4432-9749-3805a501b746.jpg
526;474;7,6;21,6;62,3;Intip goreng;https://img-global.cpcdn.com/recipes/4dece0e171a7ee52/1200x630cq70/photo.jpg
1046;471;4,7;21,8;64,1;Renggi goreng;https://cdn.idntimes.com/content-images/community/2019/05/rengginang-manis-768x509-a83023517a0077a930f4f7d1c113f41d.jpg
48;473;45,2;26,3;13,9;Ayam usus goreng;https://img-global.cpcdn.com/recipes/fa7c9443ce9efcb5/1200x630cq70/photo.jpg
898;468;7,6;20,4;62,4;Mie Goreng ;https://kbu-cdn.com/dk/wp-content/uploads/mie-goreng-korea.jpg
691;464;1,2;18,6;73;Kecimpring singkong goreng;https://www.eresep.com/media/images/resep/2020/11/18/u9be0rva491sknkbkqfhhuifa1kecip.jpg.1000x650_q85.jpg
915;478;38,3;33,9;5,1;Naan maran sapi masakan;https://drive.google.com/file/d/1LZOGoU3M3XcPbU5_HaAZ26ybCTbiTXpT/view?usp=sharing
148;458;6,9;14,4;75,1;Biskuit;https://s4.bukalapak.com/bukalapak-kontenz-production/content_attachments/57314/original/main_merek_biskuit_enak_shutterstock.jpg
209;462;1,2;20,7;67,7;Ceriping getuk singkong;https://cf.shopee.co.id/file/ee6c6b19853ec0734ceff90d980e685c
57;452;1,3;13,8;80,6;Bagea kelapa manis;https://s3.theasianparent.com/tap-assets-prod/wp-content/uploads/sites/24/2022/03/kue-bagea-featured-650x339.jpg
379;462;3,1;24,4;57,7;Geplak jahe;https://id-live-01.slatic.net/p/e9d3d5c495903bfc0909965e77c210ad.jpg
1064;452;2,8;14,8;76,8;Sagu Lemak (Kue Sagon);https://images.tokopedia.net/img/cache/700/VqbcmM/2021/3/5/d8ba35a9-c0a0-4194-9bf0-ec93071792cc.jpg
56;450;3,2;13,9;78,1;Bagea kelapa asin;https://resepkoki.id/wp-content/uploads/2018/02/Resep-Kue-Bagea.jpg
659;451;11,2;20,2;59,7;Kacang Tunggak rempeyek;https://img-global.cpcdn.com/recipes/dc9828ce49f235aa/680x482cq70/peyek-kacang-tunggaktemas-foto-resep-utama.jpg
1043;451;11,2;20,2;59,7;Rempeyek kacang tolo;https://img-global.cpcdn.com/recipes/48ce62ec9bac2146/1200x630cq70/photo.jpg
1136;474;11,2;42,5;11,7;Sie reuboh masakan;https://cdn0-production-images-kly.akamaized.net/9A6K5z9xgb8RkvkFIp5RFFE5b_o=/0x185:4800x2890/469x260/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3911399/original/008984200_1642826892-shutterstock_2081704363.jpg
725;446;2,8;14,5;76;Keripik gadung;https://www.ngadipuro.desa.id/desa/upload/artikel/sedang_1634355777_keripik-gadung.jpg
1058;449;30,6;25,5;31,9;Saga biji tanpa kulit;https://id-live-01.slatic.net/p/cce66ff1a785cd7308e286e0e821fbdc.jpg
1278;462;39,1;32,4;3,5;Teripang dendeng mentah;https://nilaigizi.com/assets/images/produk/produk_1535784851.jpg
738;444;6,9;14,6;71,3;Kerupuk cumi goreng;https://pesonanusantara.co.id/images/upload//p/e/pes-kerupuk-cumi-mgl.jpg
726;448;2,7;18,8;67,1;Keripik kentang;https://asset.kompas.com/crops/TaJKfxhk6isVM1cCWS03MJ-LeZw=/32x12:1000x657/780x390/data/photo/2022/05/25/628d7e2eb24a9.jpg
614;445;11;11;65,5;Kacang Kapri Goreng ;https://sc04.alicdn.com/kf/HTB1TBuVqKuSBuNjSsziq6zq8pXae.jpg
54;491;24,6;16,3;0,2;Babi hutan masak rica masakan;https://img-global.cpcdn.com/recipes/3bb79acbfc908ed8/1200x630cq70/photo.jpg
746;439;10;16,4;65,7;Kerupuk Melinjo tebal goreng manis;https://assets.indozone.id/content/2021/10/31/qEsgvo3/gampang-ini-cara-membuat-emping-melinjo-yang-gurih-dan-renyah30_700.jpg
958;460;28,5;35,2;7,2;Paniki masak santan masakan;https://img-global.cpcdn.com/recipes/0435c98a0facbd6b/680x482cq70/ayam-paniki-kuah-santan-daun-kemangi-foto-resep-utama.jpg
412;456;46,5;24,4;0;Ikan Asin gabus goreng;https://images.tokopedia.net/img/cache/700/product-1/2019/7/27/6486945/6486945_99c1b375-e266-42bb-b539-f5731fb74114_960_960.jpg
793;440;3,8;18,5;64,5;Kue ali;https://awsimages.detik.net.id/community/media/visual/2022/06/21/resep-kue-cincin_43.jpeg?w=1200
745;431;11,1;16,2;63;Kerupuk Melinjo tebal goreng asin;https://assets.indozone.id/content/2021/10/31/qEsgvo3/gampang-ini-cara-membuat-emping-melinjo-yang-gurih-dan-renyah30_700.jpg
797;425;1,6;8,8;84,6;Kue jahe;https://kurio-img.kurioapps.com/21/07/21/7ff9c395-9dea-492e-b3a0-ec9c7287dc04.jpe
1337;424;1,3;10,7;80,7;Widaran;https://img-global.cpcdn.com/recipes/Recipe_2014_06_07_16_44_11_482_070e2d/680x482cq70/widaran-keju-foto-resep-utama.jpg
830;422;0,9;10,8;80,4;Lanting getuk;https://cf.shopee.co.id/file/261d5dd52028e4a8ebf57f5957bde6b4
226;457;11,6;45;0;Daging Babi Gemuk;https://assets.pikiran-rakyat.com/crop/0x53:1280x855/x/photo/2020/05/11/151297858.jpg
415;430;58,2;23,6;0;Ikan Asin pari goreng;https://img-global.cpcdn.com/recipes/Recipe_2015_01_31_12_33_39_810_87c9c03bd7c9a069b268/680x482cq70/ikan-pari-goreng-foto-resep-utama.jpg
1170;418;19;9;65,5;Susu asam untuk bayi bubuk;https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1535275935/ctbvshsk4dqp293ivbec.jpg
1268;418;19;9;65,5;Tepung Susu Asam untuk bayi;https://welovesupermom.com/id/blog/wp-content/uploads/2022/09/Rekomendasi-Merk-Susu-Formula-yang-Baik-untuk-Pencernaan-Bayi.png
1341;452;14,5;42,3;2,3;Worst (sosis daging);https://www.wikihow.com/images/9/9f/Cook-Sausages-Step-20-Version-6.jpg
50;453;11,9;45;0;Babi daging gemuk segar;https://akcdn.detik.net.id/visual/2020/05/12/d2fe874b-b04f-41ad-bce5-84027ad803ab_169.jpeg?w=650
743;422;83;4;0;Kerupuk Kulit kerbau;https://halalmui.org/wp-content/uploads/2022/09/2022-09-01-Kerupuk-Kulit-Kenali-Bahaya-dan-Potensi-Haramnya.jpg
60;416;6,5;9,4;76,3;Bagea kw 1;https://i0.wp.com/www.cakefever.com/wp-content/uploads/rsz_unknown_187780537_492967188795850_1371196946421020494_n.jpg?fit=900%2C600&ssl=1
1085;448;14,5;42,3;2,3;Sapi daging sosis (Worst);https://images.tokopedia.net/img/cache/700/product-1/2020/7/3/1982472/1982472_d7e37ee9-0836-4eb7-9d26-fe0b1f602bd3_300_300
343;403;10,6;2,2;85,3;Emping beras;https://id-test-11.slatic.net/p/8d475dd96749024eb4626810ea458829.jpg
8;414;26,6;18,3;41,3;Ampas Tahu;https://palpres.disway.id/upload/9e9c1ba592cac7270de5e48889a33523.jpeg
158;400;4;0,7;95,3;Brondong ;https://cdn.idntimes.com/content-images/community/2020/07/lg-k15522919710053-2-25e6aa2e5c1611522cabcd2dad7de10f.jpg
836;405;4,8;5,1;84,9;Ledre pisang;https://cdn.idntimes.com/content-images/community/2022/03/127926829-138078701098384-3632478979177553762-n-1fd6c04577e614a24488a2b0565fd065-d95921c5a20494e557ab339600558193.jpg
320;433;55;9;0;Dendeng Daging Sapi;https://awsimages.detik.net.id/community/media/visual/2022/02/20/resep-dendeng-sapi-medan_43.jpeg?w=700&q=90
494;415;61,3;17,6;2,9;Ikan sale lais mentah;https://images.tokopedia.net/img/cache/700/product-1/2016/10/28/4294887/4294887_93a595e0-6049-492f-9da8-1a9d01d36dba.jpg
205;460;0,8;18,7;17,2;Cassavastick;https://img-global.cpcdn.com/recipes/28197e7ad5840e48/680x482cq70/cassava-cheese-stick-with-veggies-foto-resep-utama.jpg
418;430;33,4;32,4;0;Ikan Asin teri goreng;https://img-global.cpcdn.com/recipes/15714e008b15f3e0/680x482cq70/teri-segar-goreng-tanpa-minyak-foto-resep-utama.jpg
984;400;0;0;95;Permen ;https://cdn1-production-images-kly.akamaized.net/7v14RDPh4Yi0jn8yPsIj4cl2YyQ=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2054451/original/070398300_1522833158-iStock-153502589.jpg
99;417;25,9;19,4;32;Belut goreng;https://asset.kompas.com/crops/EIwKgK9ZA21scjpbrA9zMJehUIU=/100x67:900x600/750x500/data/photo/2021/03/23/6059483f259e2.jpeg
432;417;25,9;19,4;32;Ikan Belut Segar goreng;https://kbu-cdn.com/dk/wp-content/uploads/belut-goreng-crispy.jpg
1230;425;31;28;10;Telur Terubuk;https://lovepeaceveggiefood.files.wordpress.com/2020/09/screenshot_2020-09-18-19-57-07-39.jpg
664;413;28,7;19,8;29,8;Kaholeo masakan;https://img-global.cpcdn.com/recipes/e82d99f1eb64c14b/680x482cq70/ikan-teri-kaholeo-masak-asam-khas-buton-sulawesi-foto-resep-utama.jpg
692;405;32,8;17;36,5;Kecipir biji;https://images.tokopedia.net/img/cache/500-square/product-1/2020/3/27/97682031/97682031_f091ebf8-1cac-4b60-8337-825c870286c9_624_624.jpg
764;404;14,1;16,1;54,2;Ketumbar;https://awsimages.detik.net.id/community/media/visual/2021/08/27/5-manfaat-sehat-minum-air-ketumbar-naikkan-imunitas-dan-detoks-tubuh-3_169.jpeg?w=1200
393;394;0;0;94;Gula putih;https://s0.bukalapak.com/bukalapak-kontenz-production/content_attachments/88280/original/manfaat_gula_pasir_main_image.jpg
479;416;46,9;23,9;0;Ikan Mujair goreng;https://kurio-img.kurioapps.com/22/10/07/3521e216-d7b3-498d-a045-95973e196c36.jpg
591;400;34,4;16,9;34,1;Kacang belimbing (kecipir) kering;https://i0.wp.com/resepkoki.id/wp-content/uploads/2018/03/kecipir2.jpg?fit=500%2C500&ssl=1
325;395;3;5,7;81,2;Dodol;https://asset.kompas.com/crops/e3JycmGm1r9fr7krT-Kj-p7R3m0=/32x18:1000x664/750x500/data/photo/2023/03/03/64014f11134b7.jpeg
1296;395;3,2;8,5;76,5;Tiwul Instan;https://grebeg.com/images/media/2020/11/large1606391454Nk2Sa26711.jpg
1035;394;2,2;8,8;76,6;Rasbi (Beras Ubi);https://warisanbudaya.kemdikbud.go.id/dashboard/media/photos/1613027332-tetap-5.jpg
372;389;0;0;91;Gelatine;https://asset.kompas.com/crops/_L9e1vMf1G0xP0ebOzrif0YDzzQ=/0x0:1000x667/750x500/data/photo/2020/10/06/5f7c01379379a.jpg
408;390;14,2;7,4;68,2;Havermout;https://id-test-11.slatic.net/p/2055593e09b807e28ea3fd9b8756b103.jpg
215;381;9;35;53,6;Coklat Susu batang;https://www.nyonyor.com/wp-content/uploads/2018/11/Harga-Coklat-Batangan-Terbaru-540x350.jpg
806;393,3;2,7;2,7;79,3;Kue Satu ;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Kue_satu_2.JPG/640px-Kue_satu_2.JPG
1258;388;19;7,5;61,2;Tepung Jalejo;https://tabloidsinartani.com/uploads/news/images/inline/211206131405-209.jpg
391;386;3;10;76;Gula Kelapa;https://centralagrolestari.com/public/storage/pos/images/1626581730.jpg
719;393;38,9;13,3;29,4;Kerang asap mentah;https://paxelmarket.co/wp-content/uploads/2022/06/Screen-Shot-2022-06-29-at-10.00.22.png
933;387;5,3;7,6;74,3;Nopia spesial;https://images.tokopedia.net/img/cache/700/VqbcmM/2022/11/16/4db2f8bc-bb3d-4e95-a679-b13c5b5c0faf.jpg
807;380;1;1;92;Kue Semprong ;https://asset.kompas.com/crops/jT3TeOZw6jjDRXgh1-P9Yrz0enI=/0x0:1000x667/750x500/data/photo/2022/01/21/61ea314112848.jpg
376;407;6,4;28,2;32;Gendar goreng;https://img-global.cpcdn.com/recipes/8740dfff5f5019cb/1200x630cq70/photo.jpg
61;382;0,3;3,5;87,2;Bagea kw 2;https://images.tokopedia.net/img/cache/700/VqbcmM/2021/8/15/c5337e96-32c2-4453-98d0-cc17b08837f1.jpg
139;381;6,1;3,9;80,3;Bihun goreng instan;https://img-global.cpcdn.com/recipes/98b4c2fca1b1e699/1200x630cq70/photo.jpg
831;389;6,6;15,7;55,5;Lapis legit;https://kurio-img.kurioapps.com/21/03/03/fba953f2-c456-49e3-bec5-7adc1cbfd5a6.jpe
573;381,7;9,5;9,5;65,8;Jenang ;https://cdn.idntimes.com/content-images/community/2022/01/fromandroid-fbaa0f050bd3678e2e78518c3020f9f9_600x400.jpg
708;380;48,9;13,8;23,3;Kembang tahu;https://asset.kompas.com/crops/sgS6iHzRJjt2l5GMjgtm8spQscM=/0x0:1000x667/750x500/data/photo/2020/08/22/5f412ff8eee87.jpg
125;376;7,5;3,8;78;Beras ladang mentah;https://cf.shopee.co.id/file/7ba3bd8d1b35213b450210a2d8a7bebe
